function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
FFT,float64,2048,2048,2048,32,1,NCCL,8,2420.2968,1491.3217,1513.7302,1502.4795,6.061,1502.986,5352,2147483648,4294967296,8589934592,268435456.0
IFFT,float64,2048,2048,2048,32,1,NCCL,8,1621.6832,1527.766,1548.7165,1537.39,6.803,1546.8839,5352,4294967296,4294967296,8589934592,268435456.0
FFT,float32,256,256,256,8,8,NCCL,16,5935.5602,1.354,82.9787,9.6301,24.45,1.382,4456,1048576,2097152,4194304,262143.0
IFFT,float32,256,256,256,8,8,NCCL,16,112.606,1.3511,1.9391,1.4338,0.1698,1.411,4840,2097152,2097152,4194304,262143.0
FFT,float32,256,256,256,16,4,NCCL,16,1174.2351,1.2453,82.8363,9.4982,24.4461,1.3255,4456,1048576,2097152,4194304,262143.0
IFFT,float32,256,256,256,16,4,NCCL,16,100.3244,1.0694,1.2732,1.1252,0.0535,1.0961,4840,2097152,2097152,4194304,262143.0
FFT,float32,256,256,256,1,64,NCCL,16,1164.8648,1.7903,92.7821,10.926,27.2854,1.8206,4456,1048576,2097152,4194304,262143.0
IFFT,float32,256,256,256,1,64,NCCL,16,101.8194,1.8008,1.9262,1.8546,0.0368,1.8371,4840,2097152,2097152,4194304,262143.0
FFT,float32,256,256,256,64,1,NCCL,16,1154.9109,1.9418,90.8204,10.872,26.6495,1.9627,4456,1048576,2097152,4194304,262143.0
IFFT,float32,256,256,256,64,1,NCCL,16,100.8251,1.9376,2.0405,1.998,0.0341,1.9376,4840,2097152,2097152,4194304,262143.0
FFT,float32,512,512,512,8,8,NCCL,16,1153.3627,8.0403,95.2668,16.9075,26.1207,8.0895,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,512,512,512,8,8,NCCL,16,157.7224,8.2531,8.8731,8.3903,0.1718,8.2531,6376,16777216,16777216,33554432,2097151.0
FFT,float32,512,512,512,16,4,NCCL,16,1193.5573,5.5645,93.4087,14.6574,26.2554,7.1114,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,512,512,512,16,4,NCCL,16,116.0031,5.656,6.5314,5.8759,0.279,5.8778,6376,16777216,16777216,33554432,2097151.0
FFT,float32,512,512,512,1,64,NCCL,16,1253.9439,5.9624,94.1466,15.2147,26.3123,5.9624,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,512,512,512,1,64,NCCL,16,117.8287,6.1146,8.8415,6.9672,0.9154,6.3184,6376,16777216,16777216,33554432,2097151.0
FFT,float32,512,512,512,64,1,NCCL,16,1273.0163,6.0167,101.0071,16.436,28.2181,6.0167,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,512,512,512,64,1,NCCL,16,115.1587,6.2219,9.4577,7.3791,0.9158,8.1504,6376,16777216,16777216,33554432,2097151.0
FFT,float32,1024,1024,1024,8,8,NCCL,16,1129.2754,61.71,204.0219,127.6802,58.6793,198.9336,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,1024,1024,1024,8,8,NCCL,16,168.6174,62.7337,121.6381,86.305,24.2004,121.6381,5224,134217728,134217728,268435456,16777215.0
FFT,float32,1024,1024,1024,16,4,NCCL,16,1163.5473,42.1523,133.4108,52.0051,27.14,42.7796,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,1024,1024,1024,16,4,NCCL,16,144.6958,42.2338,43.7228,42.8649,0.5852,42.4813,5224,134217728,134217728,268435456,16777215.0
FFT,float32,1024,1024,1024,1,64,NCCL,16,1382.6625,42.2849,130.5075,53.0295,25.8536,45.4046,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,1024,1024,1024,1,64,NCCL,16,150.53,42.7719,49.1199,44.3194,1.8141,42.7719,5224,134217728,134217728,268435456,16777215.0
FFT,float32,1024,1024,1024,64,1,NCCL,16,1226.7284,42.038,128.4054,61.1273,26.8471,43.2735,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,1024,1024,1024,64,1,NCCL,16,188.5677,42.7235,76.6723,50.9048,12.4897,42.7235,5224,134217728,134217728,268435456,16777215.0
FFT,float32,2048,2048,2048,8,8,NCCL,16,1548.6988,499.7951,587.2322,527.8517,30.4583,519.5951,5480,536870912,1073741824,2147483648,134217728.0
IFFT,float32,2048,2048,2048,8,8,NCCL,16,651.7459,503.847,556.8402,511.5693,15.1962,505.8657,5480,1073741824,1073741824,2147483648,134217728.0
FFT,float32,2048,2048,2048,16,4,NCCL,16,1513.0445,335.2974,451.893,356.5247,32.159,348.6331,5480,536870912,1073741824,2147483648,134217728.0
IFFT,float32,2048,2048,2048,16,4,NCCL,16,471.3938,336.204,345.2991,340.2477,2.9537,341.835,5480,1073741824,1073741824,2147483648,134217728.0
